graphID,label,weight,GapW-M,averageDegree,avergaeTrianglesRate,ratioOfNodesInTriangles,GCC,ACC,density
1000.10.20.7.20.2.2,1,0.018680011,0.055301449,19.592,8.231,1,0.533602731,0.572723449,0.019611612
1000.10.20.7.20.3.1,1,0.000658215,0.001885879,19.204,7.811,1,0.526655279,0.562281008,0.019223223
1000.10.20.7.20.3.2,1,0.008473932,0.024500654,19.252,7.887,1,0.528041242,0.571807715,0.019271271
1000.5.10.10.10.2.1,0,0.036597822,-0.093803861,11.08,1.975,0.958,0.33868755,0.465563969,0.011091091
1000.5.10.10.10.2.2,0,0.072025028,-0.184536579,10.896,1.913,0.937,0.349491505,0.453796087,0.010906907
1000.5.10.10.10.3.1,0,0.165732998,-0.384294322,10.908,1.445,0.908,0.258558988,0.378161844,0.010918919
1000.5.10.10.10.3.2,0,0.144733963,-0.362458813,11.036,1.502,0.923,0.264049224,0.390134948,0.011047047
1000.5.10.10.20.2.1,0,0.168957438,-0.452694024,11.024,1.743,0.9,0.30911563,0.392110356,0.011035035
1000.5.10.10.20.2.2,0,0.246564041,-0.65673391,11.168,1.836,0.887,0.31675197,0.382763242,0.011179179
1000.5.10.10.20.3.1,0,0.171148175,-0.439940056,10.976,1.64,0.875,0.292979218,0.374459607,0.010986987
1000.5.10.10.20.3.2,0,0.236811443,-0.606299704,10.976,1.609,0.879,0.288041532,0.38115439,0.010986987
1000.5.10.7.10.2.1,1,0.054324568,0.144941772,11.056,2.312,0.978,0.404927316,0.553589283,0.011067067
1000.5.10.7.10.2.2,1,0.03326353,0.091167768,11.2,2.432,0.977,0.416604808,0.56228108,0.011211211
1000.5.10.7.10.3.1,1,0.015020564,0.037262826,11.06,1.832,0.96,0.322270435,0.47123557,0.011071071
1000.5.10.7.10.3.2,0,0.105639631,-0.259528329,10.668,1.558,0.931,0.293629853,0.439110939,0.010678679
1000.5.10.7.20.2.1,0,0.16302229,-0.440395213,10.784,1.741,0.904,0.326111389,0.397501665,0.010794795
1000.5.10.7.20.2.2,0,0.160301365,-0.424282166,11.148,2.12,0.932,0.36714195,0.459572938,0.011159159
1000.5.10.7.20.3.1,0,0.087627969,-0.231252871,10.608,1.668,0.904,0.320707556,0.438913348,0.010618619
1000.5.10.7.20.3.2,0,0.12458468,-0.318927063,10.844,1.693,0.896,0.31525045,0.400502492,0.010854855
1000.5.20.10.10.2.1,0,0.064761112,-0.175893067,11.084,2.277,0.95,0.396505688,0.47874435,0.011095095
1000.5.20.10.10.2.2,0,0.095036508,-0.256891228,10.984,2.107,0.936,0.374400284,0.440992244,0.010994995
1000.5.20.10.10.3.1,0,0.129459647,-0.336329064,10.944,2.032,0.924,0.358377425,0.428181982,0.010954955
1000.5.20.10.10.3.2,0,0.169174022,-0.445323066,10.816,1.908,0.932,0.349429217,0.427058614,0.010826827
1000.5.20.10.20.2.1,0,0.133584079,-0.370878657,11.12,1.833,0.923,0.326021225,0.413191359,0.011131131
1000.5.20.10.20.2.2,0,0.169191985,-0.473607744,11.216,2.028,0.922,0.337549933,0.440026657,0.011227227
1000.5.20.10.20.3.1,0,0.178630303,-0.487473936,10.992,1.789,0.897,0.318667617,0.398209108,0.011003003
1000.5.20.10.20.3.2,0,0.237796841,-0.644863996,11.064,1.772,0.897,0.305306685,0.40002346,0.011075075
1000.5.20.7.10.2.1,0,0.009946847,-0.026706917,10.92,2.687,0.962,0.480995286,0.547900111,0.010930931
1000.5.20.7.10.2.2,0,0.021722454,-0.058689269,10.86,2.521,0.968,0.463447515,0.544038356,0.010870871
1000.5.20.7.10.3.1,0,0.054208244,-0.14489064,10.392,1.954,0.948,0.399972707,0.482553807,0.010402402
1000.5.20.7.10.3.2,0,0.020870963,-0.055232863,10.944,2.344,0.964,0.426699029,0.502288739,0.010954955
1000.5.20.7.20.2.1,0,0.136223979,-0.375912244,10.724,1.888,0.924,0.353977876,0.449294128,0.010734735
1000.5.20.7.20.2.2,0,0.135935842,-0.385656896,11.084,2.092,0.937,0.369611307,0.45864879,0.011095095
1000.5.20.7.20.3.1,0,0.119259189,-0.320132478,11.068,1.968,0.923,0.344859813,0.442469264,0.011079079
1000.5.20.7.20.3.2,0,0.094747135,-0.263842728,10.756,1.854,0.912,0.345616106,0.442075574,0.010766767
1000.sK.10.100.2.1,0,0.709461322,-1.903603327,19.368,2.569,0.817,0.100814944,0.139020952,0.019387387
1000.sK.10.100.2.1,0,0.048270478,-0.141482457,80.144,63.236,1,0.238289213,0.242970465,0.080224224
1000.sK.10.100.2.2,0,0.533651337,-1.500397447,20.164,3.517,0.907,0.124563185,0.197166797,0.020184184
1000.sK.10.100.2.2,0,0.026928856,-0.078097074,80.32,58.891,1,0.22092603,0.230099199,0.0804004
1000.sK.10.100.3.1,0,0.555576619,-1.439047835,20.308,3.142,0.871,0.111183194,0.170062608,0.020328328
1000.sK.10.100.3.1,0,0.023285866,-0.065138789,80.104,71.616,1,0.269608778,0.277704659,0.080184184
1000.sK.10.100.3.2,0,0.603168191,-1.54676544,20.296,3.165,0.868,0.114232435,0.181165992,0.020316316
1000.sK.10.100.3.2,0,0.074005943,-0.214850888,80.184,75.36,1,0.283197547,0.292493959,0.080264264
1000.sK.10.100.4.1,0,0.629947163,-1.526757781,19.936,2.956,0.853,0.110748942,0.170385663,0.019955956
1000.sK.10.100.4.1,1,0.041982431,0.116302147,79.224,72.926,1,0.279667127,0.288442204,0.079303303
1000.sK.10.100.4.2,0,0.565080263,-1.393918065,21.028,3.749,0.848,0.121477561,0.178919266,0.021049049
1000.sK.10.100.4.2,0,0.006194883,-0.017037463,79.592,65.809,1,0.250317926,0.259729441,0.079671672
1000.sK.10.100.5.1,0,0.561018898,-1.288668856,20.196,3.223,0.848,0.116960408,0.175061269,0.020216216
1000.sK.10.100.5.1,0,0.010848928,-0.028541708,78.828,66.283,1,0.257212596,0.267219925,0.078906907
1000.sK.10.100.5.2,0,0.5770578,-1.209141549,19.436,2.753,0.826,0.106261982,0.164253939,0.019455455
1000.sK.10.100.5.2,1,0.07314041,0.202027261,78.836,72.779,1,0.281826983,0.29388908,0.078914915
1000.sK.10.100.6.1,0,0.379135814,-0.798314015,20.7,3.739,0.889,0.123357271,0.203360438,0.020720721
1000.sK.10.100.6.1,1,0.012635193,0.03382386,77.836,67.59,1,0.267774724,0.280015403,0.077913914
1000.sK.10.100.6.2,0,0.436339787,-0.915855746,20.416,3.583,0.864,0.123710984,0.196153805,0.020436436
1000.sK.10.100.6.2,1,0.014684872,0.038713152,78.568,64.632,1,0.251809063,0.262448552,0.078646647
1000.sK.10.100.7.1,0,0.413049414,-0.859857804,20.628,3.412,0.855,0.116217812,0.186010655,0.020648649
1000.sK.10.100.7.1,1,0.070938643,0.185354826,76.068,61.84,1,0.25466935,0.268792008,0.076144144
1000.sK.10.100.7.2,0,0.455816453,-0.902394663,19.152,2.813,0.865,0.113056642,0.187975864,0.019171171
1000.sK.10.100.7.2,1,0.020479869,0.053183576,76.632,63.452,1,0.257860187,0.273126969,0.076708709
1000.sK.10.50.2.1,0,0.184785191,-0.513591976,20.272,4.421,0.958,0.160532081,0.252723798,0.020292292
1000.sK.10.50.2.1,1,0.006106117,0.017914638,80.324,98.242,1,0.368060603,0.376137065,0.080404404
1000.sK.10.50.2.2,0,0.389405266,-1.073052587,20.624,4.648,0.933,0.161744577,0.244990385,0.020644645
1000.sK.10.50.2.2,1,0.019109276,0.056905583,79.984,94.109,1,0.356289492,0.363173301,0.080064064
1000.sK.10.50.3.1,0,0.279685811,-0.70781373,20.3,4.771,0.937,0.166030601,0.274246423,0.02032032
1000.sK.10.50.3.1,1,0.075735107,0.224798536,79.248,93.336,1,0.358489165,0.369230036,0.079327327
1000.sK.10.50.3.2,0,0.191177606,-0.496325046,20.048,4.115,0.94,0.14798432,0.245047769,0.020068068
1000.sK.10.50.3.2,1,0.027348067,0.080844232,80.1,91.864,1,0.344993691,0.354322225,0.08018018
1000.sK.10.50.4.1,0,0.365140034,-0.851122616,20.244,4.209,0.904,0.146279584,0.233848328,0.020264264
1000.sK.10.50.4.1,1,0.118415623,0.352528184,76.508,83.873,1,0.343139902,0.359541799,0.076584585
1000.sK.10.50.4.2,0,0.147427,-0.354521603,19.848,4.08,0.937,0.150991809,0.266390093,0.019867868
1000.sK.10.50.4.2,1,0.062386091,0.184146213,77.048,83.209,1,0.335412865,0.350223237,0.077125125
1000.sK.10.50.5.1,0,0.209578825,-0.483745282,20.288,4.094,0.921,0.147457139,0.245355998,0.020308308
1000.sK.10.50.5.1,1,0.032279874,0.095064942,75.584,80.283,1,0.336237586,0.354558706,0.07565966
1000.sK.10.50.5.2,0,0.317479884,-0.736958951,20.82,4.645,0.918,0.156026066,0.26639722,0.020840841
1000.sK.10.50.5.2,1,0.061537849,0.183152277,77,83.25,1,0.334954347,0.348811049,0.077077077
1000.sK.10.50.6.1,0,0.34600333,-0.75347162,19.36,3.511,0.903,0.140329607,0.233222633,0.019379379
1000.sK.10.50.6.1,1,0.153912646,0.450869233,73.864,72.823,1,0.315941321,0.33345345,0.073937938
1000.sK.10.50.6.2,0,0.174859804,-0.400240482,20.36,4.152,0.933,0.144086619,0.264630465,0.02038038
1000.sK.10.50.6.2,1,0.13374834,0.394746434,72.764,69.871,1,0.312366161,0.332948917,0.072836837
1000.sK.10.50.7.1,0,0.393963738,-0.8183222,18.844,3.346,0.897,0.142437529,0.250791947,0.018862863
1000.sK.10.50.7.1,1,0.160574053,0.465800097,72.3,68.007,1,0.305649896,0.32305592,0.072372372
1000.sK.10.50.7.2,1,0.160553909,0.464963376,72.772,69.613,1,0.3111622,0.331828935,0.072844845
1000.sK.10.50.7.2,0,0.084685013,-0.194414688,20.064,4.107,0.947,0.148299271,0.285178709,0.020084084
1000.sK.2.100.2.1,0,0.514398776,-0.598399238,20.38,2.375,0.788,0.080848312,0.116008281,0.0204004
1000.sK.2.100.2.1,0,0.05203001,-0.144259083,80.448,41.084,1,0.153689805,0.155311618,0.080528529
1000.sK.2.100.2.2,0,0.728068436,-1.096026161,20.22,2.235,0.768,0.079474202,0.110323334,0.02024024
1000.sK.2.100.2.2,0,0.025991416,-0.070233448,80.616,47.267,1,0.176056049,0.179304834,0.080696697
1000.sK.2.100.3.1,0,0.540054808,-0.401689741,20.976,2.169,0.722,0.071335387,0.095813147,0.020996997
1000.sK.2.100.3.1,1,0.143506325,0.353857629,80.148,36.953,1,0.139186519,0.143048782,0.080228228
1000.sK.2.100.3.2,0,0.456299741,-0.272544113,20.376,1.805,0.686,0.062733876,0.081519014,0.020396396
1000.sK.2.100.3.2,1,0.079136285,0.222253894,80.732,37.762,1,0.14023252,0.142999385,0.080812813
1000.sK.2.100.4.1,0,0.482685485,-0.263620127,20.244,1.664,0.68,0.058448857,0.086225337,0.020264264
1000.sK.2.100.4.1,1,0.38020014,0.962997088,79.752,32.995,1,0.125461362,0.128185998,0.079831832
1000.sK.2.100.4.2,1,0.450543486,1.110897256,80.42,32.722,1,0.122406991,0.125024773,0.080500501
1000.sK.2.100.4.2,0,0.40458606,-0.187290166,20.724,1.616,0.674,0.054430934,0.080074441,0.020744745
1000.sK.2.100.5.1,1,0.50756165,1.163709153,79.388,28.362,1,0.108368687,0.112352958,0.079467467
1000.sK.2.100.5.1,0,0.346927913,-0.139890316,20.664,1.549,0.631,0.053837064,0.074695498,0.020684685
1000.sK.2.100.5.2,1,0.530923463,1.227935646,80.276,28.128,1,0.105350814,0.108201187,0.080356356
1000.sK.2.100.5.2,0,0.370105995,-0.16541086,21.232,1.688,0.665,0.055147179,0.079364182,0.021253253
1000.sK.2.100.6.1,1,0.631692197,1.329524743,79.724,25.961,1,0.098318252,0.101228553,0.079803804
1000.sK.2.100.6.1,0,0.313708369,-0.115522064,20.4,1.334,0.636,0.046791694,0.07252477,0.02042042
1000.sK.2.100.6.2,1,0.582684356,1.26561375,80.396,26.207,1,0.097987188,0.099935916,0.080476476
1000.sK.2.100.6.2,0,0.43425806,-0.167650748,19.504,1.149,0.582,0.0452683,0.062941252,0.019523524
1000.sK.2.100.7.1,1,0.656387225,1.369356668,80.352,23.296,1,0.087173992,0.089299231,0.080432432
1000.sK.2.100.7.1,0,0.297533128,-0.105365739,20.78,1.356,0.621,0.046346298,0.073512339,0.020800801
1000.sK.2.100.7.2,1,0.607268069,1.179138002,79.1,22.924,1,0.088246503,0.091467978,0.079179179
1000.sK.2.100.7.2,0,0.380332529,-0.147769737,20.728,1.379,0.612,0.047164111,0.077879997,0.020748749
1000.sK.2.50.2.1,0,0.343362579,-0.637549204,20.86,3.339,0.9,0.110570236,0.174127946,0.020880881
1000.sK.2.50.2.1,1,0.131472203,0.388442192,80.156,60.594,1,0.228451429,0.233275972,0.080236236
1000.sK.2.50.2.2,0,0.429267893,-0.772469413,20.436,3.105,0.882,0.106625306,0.168440602,0.020456456
1000.sK.2.50.2.2,1,0.106108497,0.315558095,80.376,59.435,1,0.222688624,0.225957718,0.080456456
1000.sK.2.50.3.1,0,0.581378568,-0.493172251,19.816,2.152,0.756,0.081093303,0.116854832,0.019835836
1000.sK.2.50.3.1,1,0.130479794,0.373223862,80.552,46.901,1,0.175038129,0.179882813,0.080632633
1000.sK.2.50.3.2,0,0.649152485,-0.650552539,19.264,1.887,0.738,0.07319533,0.113995902,0.019283283
1000.sK.2.50.3.2,1,0.219967292,0.647302168,80.712,47.652,1,0.17693275,0.182077345,0.080792793
1000.sK.2.50.4.1,0,0.623803079,-0.399789046,19.136,1.514,0.66,0.061434832,0.093065089,0.019155155
1000.sK.2.50.4.1,1,0.452000829,1.168383691,80.188,38.594,1,0.145086589,0.150300318,0.080268268
1000.sK.2.50.4.2,0,0.679986195,-0.467551413,18.964,1.494,0.671,0.063952742,0.093733442,0.018982983
1000.sK.2.50.4.2,1,0.471823353,1.256870638,80.22,38.768,1,0.145472557,0.151003587,0.0803003
1000.sK.2.50.5.1,0,0.619374304,-0.364039618,20.08,1.567,0.669,0.059145467,0.09341481,0.0201001
1000.sK.2.50.5.1,1,0.486481347,1.082935684,79.524,31.839,1,0.120514322,0.12674339,0.079603604
1000.sK.2.50.5.2,0,0.59774956,-0.358505312,21.284,1.929,0.703,0.063793902,0.095956832,0.021305305
1000.sK.2.50.5.2,1,0.482812729,1.100088007,79.232,31.429,1,0.120558507,0.124820656,0.079311311
1000.sK.2.50.6.1,0,0.615202847,-0.2755366,19.936,1.371,0.648,0.052941858,0.082991921,0.019955956
1000.sK.2.50.6.1,1,0.529251812,1.052513603,79.328,27.522,1,0.104456936,0.109913458,0.079407407
1000.sK.2.50.6.2,0,0.600852162,-0.281153015,19.98,1.25,0.656,0.047928835,0.079276209,0.02
1000.sK.2.50.6.2,1,0.575842431,1.215987534,78.9,26.673,1,0.102718044,0.107134487,0.078978979
1000.sK.2.50.7.1,0,0.646712533,-0.316808306,20.124,1.264,0.611,0.047564693,0.079298298,0.020144144
1000.sK.2.50.7.1,1,0.592898752,1.129034122,78.576,23.459,1,0.090550816,0.09571833,0.078654655
1000.sK.2.50.7.2,0,0.619494743,-0.318591548,21.496,1.652,0.675,0.051778718,0.086079146,0.021517518
1000.sK.2.50.7.2,1,0.607501383,1.156007934,79.004,23.386,1,0.089356515,0.094417279,0.079083083
10000.sK.10.100.2.1,0,0.615289646,-1.691230315,20.1864,3.2189,0.8731,0.11473057,0.174409507,0.002018842
10000.sK.10.100.2.1,0,0.032156474,-0.094043868,80.4368,64.7895,1,0.242340657,0.248386251,0.008044484
10000.sK.10.100.2.2,0,0.597955567,-1.682991885,20.3696,3.4042,0.8825,0.118824945,0.185018319,0.002037164
10000.sK.10.100.2.2,0,0.024318813,-0.070754725,80.338,68.5573,1,0.257062369,0.263515978,0.008034603
10000.sK.10.100.3.1,0,0.672761567,-1.72547155,20.0908,3.2301,0.8572,0.116815484,0.180064014,0.002009281
10000.sK.10.100.3.1,0,0.054357738,-0.156610528,79.9564,63.8674,1,0.241411196,0.248259294,0.00799644
10000.sK.10.100.3.2,0,0.727873272,-1.876137702,20.2392,3.1396,0.8486,0.109715356,0.171369486,0.002024122
10000.sK.10.100.3.2,0,0.053708711,-0.153960667,79.9608,66.0504,1,0.249574378,0.258260714,0.00799688
10000.sK.10.100.4.1,0,0.686578825,-1.681842191,19.8532,2.8148,0.8358,0.104979189,0.166980734,0.001985519
10000.sK.10.100.4.1,0,0.048992167,-0.137343787,79.3352,66.1245,1,0.253076586,0.263953236,0.007934313
10000.sK.10.100.4.2,0,0.654048402,-1.598183534,20.0228,3.0075,0.8487,0.10986676,0.174213184,0.00200248
10000.sK.10.100.4.2,0,0.071758892,-0.203535509,79.2756,63.9896,1,0.245267391,0.256581915,0.007928353
10000.sK.10.100.5.1,0,0.764197456,-1.767449978,20.514,3.333,0.8487,0.115246439,0.185440891,0.002051605
10000.sK.10.100.5.1,0,0.027907148,-0.076167042,78.6568,67.0818,1,0.26046491,0.27272382,0.007866467
10000.sK.10.100.5.2,0,0.696933806,-1.594140979,20.1812,3.2574,0.8434,0.116271903,0.185387728,0.002018322
10000.sK.10.100.5.2,0,0.047470216,-0.130978797,78.9268,64.6864,1,0.2496593,0.261058103,0.007893469
10000.sK.10.100.6.1,0,0.723530132,-1.596217691,20.1444,3.0094,0.8409,0.109484484,0.180722149,0.002014641
10000.sK.10.100.6.1,1,0.006858866,0.018511785,78.0116,66.7194,1,0.263029029,0.276636182,0.00780194
10000.sK.10.100.6.2,0,0.745547243,-1.623966243,20.2424,3.1723,0.8448,0.112874225,0.186579862,0.002024442
10000.sK.10.100.6.2,1,0.000392762,0.001054118,78.0248,64.5827,1,0.254238242,0.265936464,0.00780326
10000.sK.10.100.7.1,0,0.765428747,-1.554149125,19.8256,2.9849,0.8346,0.11219404,0.1846438,0.001982758
10000.sK.10.100.7.1,1,0.048821602,0.130739146,77.19,62.9106,1,0.252284886,0.266157543,0.007719772
10000.sK.10.100.7.2,0,0.63799701,-1.354798172,20.2164,3.2465,0.8514,0.115016167,0.194136036,0.002021842
10000.sK.10.100.7.2,1,0.038761021,0.104037031,76.5384,62.2681,1,0.253440051,0.268483541,0.007654605
10000.sK.10.50.2.1,0,0.271794968,-0.751270772,20.2176,4.3886,0.9497,0.155576852,0.252517492,0.002021962
10000.sK.10.50.2.1,1,0.078398855,0.234609586,80.1864,93.8813,1,0.353219041,0.361266394,0.008019442
10000.sK.10.50.2.2,0,0.249425843,-0.688854594,20.356,4.4206,0.9532,0.155524596,0.253478544,0.002035804
10000.sK.10.50.2.2,1,0.069599694,0.207917101,80.1636,92.0636,1,0.346482241,0.354420889,0.008017162
10000.sK.10.50.3.1,0,0.299613509,-0.783814278,20.2404,4.1116,0.9269,0.146945894,0.242496783,0.002024242
10000.sK.10.50.3.1,1,0.102473979,0.306038813,79.246,88.0222,1,0.337673474,0.348268304,0.007925393
10000.sK.10.50.3.2,0,0.348927966,-0.906060646,20.054,4.1224,0.922,0.149285332,0.241292188,0.002005601
10000.sK.10.50.3.2,1,0.104463142,0.312858558,79.4352,88.6311,1,0.33853253,0.349031941,0.007944314
10000.sK.10.50.4.1,0,0.37041389,-0.911437803,20.3372,4.0812,0.9135,0.143742354,0.245130473,0.002033923
10000.sK.10.50.4.1,1,0.121327546,0.363083868,78.1856,84.2255,1,0.330876995,0.344057172,0.007819342
10000.sK.10.50.4.2,0,0.357921334,-0.888140757,20.0944,4.0569,0.9123,0.14701381,0.248603411,0.002009641
10000.sK.10.50.4.2,1,0.124463576,0.372932383,78.0044,84.33,1,0.332378769,0.346087891,0.00780122
10000.sK.10.50.5.1,0,0.341024031,-0.804211134,20.0064,3.8796,0.9013,0.143348039,0.243945944,0.00200084
10000.sK.10.50.5.1,1,0.131565799,0.394485757,76.488,79.3395,1,0.32397645,0.33952098,0.007649565
10000.sK.10.50.5.2,0,0.301293932,-0.72248654,20.4724,4.0372,0.9125,0.141388247,0.247665937,0.002047445
10000.sK.10.50.5.2,1,0.132414883,0.396949849,75.7796,77.6807,1,0.322717656,0.338495015,0.007578718
10000.sK.10.50.6.1,0,0.501245438,-1.13820278,20.2588,3.9358,0.903,0.141184995,0.253287151,0.002026083
10000.sK.10.50.6.1,1,0.158127739,0.473455455,74.1936,71.8415,1,0.309467332,0.328670292,0.007420102
10000.sK.10.50.6.2,0,0.373191725,-0.849237283,20.2024,3.9176,0.9031,0.142264874,0.253384473,0.002020442
10000.sK.10.50.6.2,1,0.154083076,0.462082861,73.9288,71.391,1,0.309945692,0.329380162,0.007393619
10000.sK.10.50.7.1,0,0.368419379,-0.824317726,19.9312,3.6649,0.901,0.139128333,0.254068877,0.001993319
10000.sK.10.50.7.1,1,0.154461052,0.46296498,72.5204,66.667,1,0.299175312,0.319236157,0.007252765
10000.sK.10.50.7.2,0,0.432022125,-0.952556315,20.0664,3.6983,0.8967,0.13736412,0.250339008,0.002006841
10000.sK.10.50.7.2,1,0.161211369,0.483057416,72.018,65.0766,1,0.29584437,0.316457391,0.00720252
10000.sK.2.100.2.1,0,0.040316896,-0.111622496,80.4776,41.1224,1,0.153687596,0.157033106,0.008048565
10000.sK.2.100.2.2,0,0.054913025,-0.153365875,80.2976,40.7609,1,0.153056328,0.156856109,0.008030563
10000.sK.2.100.3.1,1,0.035314839,0.093983352,80.4676,34.1843,1,0.127758757,0.131230134,0.008047565
10000.sK.2.100.3.2,1,0.018094822,0.048131201,80.3544,32.7224,1,0.122680002,0.12573293,0.008036244
10000.sK.2.100.4.1,1,0.061869698,0.162154609,80.3112,27.8266,1,0.104347767,0.107655772,0.008031923
10000.sK.2.100.4.2,1,0.049226714,0.127277952,80.2288,27.859,1,0.104647214,0.108080799,0.008023682
10000.sK.2.100.5.1,1,0.056782523,0.139001615,79.9852,23.3388,1,0.08810806,0.091430622,0.00799932
10000.sK.2.100.5.2,1,0.063766757,0.156470066,80.1832,23.501,1,0.088260015,0.09141617,0.008019122
10000.sK.2.100.6.1,1,0.065481342,0.151611223,79.8468,20.1902,1,0.076305534,0.079599895,0.007985479
10000.sK.2.100.6.2,1,0.038103138,0.085311588,79.7764,20.4354,1,0.077432492,0.080313209,0.007978438
10000.sK.2.100.7.1,1,0.032111774,0.068228645,79.6328,17.5557,1,0.066583665,0.069711378,0.007964076
10000.sK.2.100.7.2,1,0.034470855,0.074791558,79.5832,17.6562,1,0.06705656,0.070438768,0.007959116
10000.sK.2.50.2.1,1,0.159351735,0.477605945,80.3244,57.2882,1,0.214985432,0.220865708,0.008033243
10000.sK.2.50.2.2,1,0.151442887,0.452636536,80.268,55.9388,1,0.210178351,0.215329302,0.008027603
10000.sK.2.50.3.1,1,0.179027175,0.525897997,80.1592,42.7684,1,0.161063807,0.166683104,0.008016722
10000.sK.2.50.3.2,1,0.161823318,0.476283529,80.3164,42.8351,1,0.160668579,0.166035771,0.008032443
10000.sK.2.50.4.1,1,0.128612556,0.352708878,79.8156,33.2651,1,0.126050544,0.131127048,0.007982358
10000.sK.2.50.4.2,1,0.127471588,0.351410803,80.12,33.4571,1,0.125874223,0.130366085,0.008012801
10000.sK.2.50.5.1,1,0.091076233,0.228926163,79.396,26.6585,1,0.101779006,0.106652739,0.007940394
10000.sK.2.50.5.2,1,0.089389284,0.22447101,79.6336,26.8697,1,0.101955245,0.106955178,0.007964156
10000.sK.2.50.6.1,1,0.06183549,0.139701246,78.6728,21.5964,1,0.083597263,0.088655619,0.007868067
10000.sK.2.50.6.2,1,0.028708322,0.06518203,79.078,21.8587,1,0.083848488,0.088651002,0.007908591
10000.sK.2.50.7.1,0,0.032876146,-0.067647095,78.2644,17.8753,1,0.069559326,0.074702118,0.007827223
10000.sK.2.50.7.2,0,0.011751662,-0.024058913,78.47,18.0143,1,0.069807175,0.074490116,0.007847785
20000.sK.10.50.2.1,0,0.303235744,-0.838434827,19.8932,4.23465,0.9468,0.156032432,0.250448965,9.95E-04
20000.sK.10.50.2.2,0,0.291990477,-0.80449475,20.166,4.25405,0.94855,0.15314191,0.246555356,0.00100835
20000.sK.10.50.3.1,0,0.303305103,-0.785718381,20.019,4.074,0.9239,0.148751912,0.242273193,0.001001
20000.sK.10.50.3.2,0,0.301303468,-0.785565981,20.0266,4.0213,0.92355,0.14739368,0.238939995,0.00100138
20000.sK.10.50.4.1,0,0.373651646,-0.917158554,20.1076,3.96015,0.91095,0.142156303,0.243879985,0.00100543
